player_id,name,hof,last_seas,num_hof_teammates,num_seasons,avg_hof_mates_season,g_w_hof_teammates,tot_g,avg_hof_mates_g
4036,Klay Thompson,FALSE,2023,3,10,0.3,1734,716,2.421787709497207
3000,Kobe Bryant,TRUE,2016,9,20,0.45,1395,1346,1.036404160475483
3685,Kyle Lowry,FALSE,2023,7,17,0.4117647058823529,305,1078,0.2829313543599258
4037,Kyrie Irving,FALSE,2023,5,12,0.4166666666666667,635,671,0.9463487332339792
1875,Larry Bird,TRUE,1992,8,13,0.6153846153846154,3024,897,3.37123745819398
570,Larry Costello,TRUE,1968,9,12,0.75,1803,706,2.5538243626062322
441,Larry Foust,FALSE,1962,11,12,0.9166666666666666,1649,817,2.018359853121175
3463,LeBron James,FALSE,2023,12,20,0.6,2135,1421,1.5024630541871922
712,Lenny Wilkens,TRUE,1975,10,15,0.6666666666666666,2180,1077,2.02414113277623
887,Lou Hudson,TRUE,1979,11,13,0.8461538461538461,1674,890,1.8808988764044945
1008,Louie Dampier,TRUE,1979,3,12,0.25,1180,960,1.2291666666666667
1878,Magic Johnson,TRUE,1996,6,13,0.46153846153846156,2632,906,2.905077262693157
3401,Manu Ginóbili,TRUE,2018,6,16,0.375,2823,1057,2.6707663197729423
1822,Maurice Cheeks,TRUE,1993,10,15,0.6666666666666666,2478,1101,2.250681198910082
602,Maurice Stokes,TRUE,1958,3,3,1,355,202,1.7574257425742574
1013,Mel Daniels,TRUE,1977,4,9,0.4444444444444444,905,639,1.4162754303599374
2193,Michael Jordan,TRUE,2003,6,15,0.4,1499,1072,1.398320895522388
2449,Mitch Richmond,TRUE,2002,7,14,0.5,815,976,0.8350409836065574
1605,Moses Malone,TRUE,1995,15,21,0.7142857142857143,2297,1455,1.5786941580756013
443,Nat Clifton,TRUE,1958,7,8,0.875,1712,544,3.1470588235294117
809,Nate Thurmond,TRUE,1977,6,14,0.42857142857142855,1298,964,1.3464730290456433
469,Neil Johnston,TRUE,1959,8,8,1,945,516,1.8313953488372092
713,Oscar Robertson,TRUE,1974,7,14,0.5,2114,1040,2.0326923076923076
2264,Patrick Ewing,TRUE,2002,4,17,0.23529411764705882,273,1183,0.23076923076923078
3342,Pau Gasol,TRUE,2019,9,18,0.5,1036,1226,0.8450244698205547
445,Paul Arizin,TRUE,1962,8,10,0.8,1881,713,2.638148667601683
3969,Paul George,FALSE,2023,3,13,0.23076923076923078,391,793,0.4930643127364439
3146,Paul Pierce,TRUE,2017,5,19,0.2631578947368421,1180,1343,0.8786299329858526
1469,Paul Westphal,TRUE,1984,6,12,0.5,922,823,1.120291616038882
1315,Pete Maravich,TRUE,1980,9,10,0.9,844,658,1.2826747720364742
2142,Ralph Sampson,TRUE,1992,4,9,0.4444444444444444,457,456,1.0021929824561404
3016,Ray Allen,TRUE,2014,7,18,0.3888888888888889,1415,1300,1.0884615384615384
2386,Reggie Miller,TRUE,2005,2,18,0.1111111111111111,228,1389,0.16414686825053995
628,Richie Guerin,TRUE,1970,13,13,1,1794,848,2.115566037735849
856,Rick Barry,TRUE,1980,7,14,0.5,1297,1020,1.2715686274509803
1723,Robert Parish,TRUE,1997,15,21,0.7142857142857143,3725,1611,2.3122284295468654
811,Rod Thorn,TRUE,1971,9,8,1.125,857,466,1.8390557939914163
1034,Roger Brown,TRUE,1975,4,8,0.5,934,605,1.543801652892562
3849,Russell Westbrook,FALSE,2023,8,15,0.5333333333333333,1499,1094,1.370201096892139
652,Sam Jones,TRUE,1969,14,12,1.1666666666666667,5785,871,6.641791044776119
2394,Scottie Pippen,TRUE,2004,8,17,0.47058823529411764,1825,1178,1.5492359932088284
2751,Shaquille O'Neal,TRUE,2011,15,19,0.7894736842105263,1744,1207,1.4449047224523612
3218,Shawn Marion,FALSE,2015,13,16,0.8125,1895,1163,1.6294067067927773
1889,Sidney Moncrief,TRUE,1991,7,11,0.6363636363636364,742,767,0.9674054758800521
406,Slater Martin,TRUE,1960,13,11,1.1818181818181819,2566,745,3.4442953020134226
1226,Spencer Haywood,TRUE,1983,11,13,0.8461538461538461,901,844,1.0675355450236967
3903,Stephen Curry,FALSE,2023,3,14,0.21428571428571427,1744,882,1.9773242630385488
3028,Steve Nash,TRUE,2014,12,18,0.6666666666666666,1969,1217,1.6179129005751849
3092,Tim Duncan,TRUE,2016,5,19,0.2631578947368421,3114,1392,2.2370689655172415
2552,Tim Hardaway,TRUE,2003,7,13,0.5384615384615384,1162,867,1.3402537485582469
1329,Tiny Archibald,TRUE,1984,10,13,0.7692307692307693,1133,876,1.29337899543379
607,Tom Gola,TRUE,1966,8,10,0.8,1556,698,2.2292263610315186
633,Tom Heinsohn,TRUE,1965,12,9,1.3333333333333333,4604,654,7.039755351681957
718,Tom Sanders,TRUE,1973,15,13,1.1538461538461537,5212,916,5.689956331877729
2829,Toni Kukoč,TRUE,2006,7,13,0.5384615384615384,1091,846,1.289598108747045
3356,Tony Parker,TRUE,2019,6,18,0.3333333333333333,3081,1254,2.4569377990430623
3096,Tracy McGrady,TRUE,2012,12,15,0.8,818,938,0.8720682302771855
410,Vern Mikkelsen,TRUE,1959,6,10,0.6,1982,699,2.8354792560801143
3166,Vince Carter,FALSE,2020,9,22,0.4090909090909091,1215,1541,0.7884490590525632
2557,Vlade Divac,TRUE,2005,4,16,0.25,972,1134,0.8571428571428571
752,Walt Bellamy,TRUE,1975,11,14,0.7857142857142857,1610,1043,1.5436241610738255
1061,Walt Frazier,TRUE,1980,8,13,0.6153846153846154,2663,825,3.227878787878788
680,Wayne Embry,TRUE,1969,10,11,0.9090909090909091,2315,831,2.785800240673887
1155,Wes Unseld,TRUE,1981,5,13,0.38461538461538464,1658,984,1.684959349593496
839,Willis Reed,TRUE,1974,7,10,0.7,1877,650,2.8876923076923076
699,Wilt Chamberlain,TRUE,1973,12,14,0.8571428571428571,3196,1045,3.058373205741627
3428,Yao Ming,TRUE,2011,3,8,0.375,470,486,0.9670781893004116
791,Zelmo Beaty,TRUE,1975,8,12,0.6666666666666666,1685,889,1.8953880764904387
2540,Šarūnas Marčiulionis,TRUE,1997,4,7,0.5714285714285714,711,363,1.9586776859504131
